Title,Author ,MF,Series,Rating,Year,Date Read,Owned?,Keywords,Century,Drama,SF,Fantasy,Detectives,Spies,Comedy,History,Non-fiction,Stories,,Thoughts
Shalimar the Clown,"Rushdie, Salman",0,,4,2005,,0,,0,,,,,,,,,,7,
Weight: The Myth of Atlas and Heracles,"Winterson, Jeanette",1,,2,2005,,0,,0,,,,,,,,,,7,
The Book Thief,"Zusak, Markus",0,,3,2005,,1,,0,,,,,,,,,,1,
The Algebraist,"Banks, Iain M.",0,,2,2004,,0,,0,,1,,,,,,,,13,
The Final Solution,"Chabon, Michael",0,,3,2004,,0,,0,,,,1,,,1,,,11,
Jonathan Strange & Mr Norrell,"Clarke, Susanna",1,,5,2004,,1,,0,,,1,,,,,,,2,
The Mysterious Flame of Queen Loana,"Eco, Umberto",0,,2,2004,,1,,0,,,,,,,,,,7,
Something Rotten ,"Fforde, Jasper",0,Thursday Next 4,4,2004,,0,,0,,,1,,,1,,,,9,
The Line of Beauty,"Hollinghurst, Alan",0,,4,2004,,1,,0,,,,,,,,,,2,
Cloud Atlas,"Mitchell, David",0,,4,2004,,1,,0,,,,,,,,,,7,
After Dark,"Murakami, Haruki",0,,2,2004,,0,,0,,,,,,,,,,6,
The Plot Against America,"Roth, Philip",0,,3,2004,,0,,0,,,,,,,,,,2,
Dining on Stones,"Sinclair, Iain",0,,3,2004,,0,,0,,,,,,,,,,2,
The Confusion,"Stephenson, Neal",0,Baroque Cycle 2,4,2004,,0,,0,,,,,,,,,,7,
The System of the World ,"Stephenson, Neal",0,Baroque Cycle 3,4,2004,,0,,0,,,,,,,,,,7,
Oryx and Crake,"Atwood, Margaret",1,MaddAddam 1,4,2003,,2,"utopia, near future",0,,1,,,,,,,,14,
Oracle Night,"Auster, Paul",0,,2,2003,,0,,0,,,,,,,,,,3,
Millennium People,"Ballard, J.G.",0,,4,2003,,1,,0,,,,,,,,,,20,
The Da Vinci Code ,"Brown, Dan",0,,1,2003,,0,religion,0,,,,,,,,,,1,
McSweeney's Mammoth Treasury of Thrilling Tales,"Chabon, Michael",0,,3,2003,,0,,0,,,,,,,,,1,11,
The Well of Lost Plots,"Fforde, Jasper",0,Thursday Next 3,3,2003,,1,book-related,0,,,1,,,1,,,,9,
The Curious Incident of the Dog in the Night-Time,"Haddon, Mark",0,,3,2003,,0,,0,,,,,,,,,,1,
The Time Traveler's Wife,"Niffenegger, Audrey",1,,3,2003,,0,,0,,,,,,,,,,2,
Last Tango in Aberystwyth ,"Pryce, Malcolm",0,,2,2003,,0,,0,,,,,,,,,,1,
Harry Potter and the Order of the Phoenix,"Rowling, J.K.",1,Harry Potter 5,3,2003,,0,,0,,,,,,,,,,5,
Quicksilver,"Stephenson, Neal",0,Baroque Cycle 1,3,2003,,1,,0,,,,,,,,,,7,
Dead Air,"Banks, Iain",0,,3,2002,,1,,0,,,,,,,,,,14,
Lost in a Good Book,"Fforde, Jasper",0,Thursday Next 2,3,2002,,1,book-related,0,,,1,,,1,,,,9,
Coraline,"Gaiman, Neil",0,,3,2002,,0,gothic,0,,,,,,,,,,10,
Light ,"Harrison, M. John",0,Kefahuchi Tract 1,4,2002,,1,,0,,,,,,,,,,6,
The Scar ,"Miéville, China",0,Bas-Lag 2,4,2002,,0,,0,,,,,,,,,,10,
Kafka on the Shore,"Murakami, Haruki",0,,5,2002,,0,,0,,,,,,,,,,6,
Night Watch ,"Pratchett, Terry",0,Discworld 29,4,2002,,0,,0,,,,,,,,,,32,
The Separation,"Priest, Christopher",0,,3,2002,,0,,0,,,,,,,,,,6,
The Lovely Bones,"Sebold, Alice",1,,2,2002,,0,,0,,,,,,,,,,1,
Dorian,"Self, Will",0,,3,2002,,0,,0,,,,,,,,,,6,
The Little Friend,"Tartt, Donna",1,,3,2002,,1,,0,,,,,,,,,,2,
The Complete Short Stories,"Ballard, J.G.",0,,5,2001,,1,,0,,1,,,,,,,1,20,
The Eyre Affair ,"Fforde, Jasper",0,Thursday Next 1,4,2001,,1,book-related,0,,,1,,,1,,,,9,
American Gods ,"Gaiman, Neil",0,,3,2001,,1,,0,,,1,,,,,,,10,
Carter Beats the Devil,"Gold, Glen David",0,,3,2001,,1,,0,,,,,,,1,,,1,
Life of Pi,"Martel, Yann",0,,2,2001,,0,,0,,,,,,,,,,1,
number9dream,"Mitchell, David",0,,4,2001,,0,,0,,,,,,,,,,7,
Thief of Time,"Pratchett, Terry",0,Discworld 26,3,2001,,0,,0,,,,,,,,,,32,
The Shadow of the Wind ,"Zafon, Carlos Ruiz",0,,3,2001,,0,,0,,,,,,,,,,1,
The Blind Assassin,"Atwood, Margaret",1,,5,2000,,1,,0,,1,,,,,,,,14,
Super-Cannes,"Ballard, J.G.",0,,4,2000,,0,,0,,,,,,,,,,20,
Look to Windward ,"Banks, Iain M.",0,Culture 7,4,2000,,1,,0,,1,,,,,,,,13,
The Constant Gardener,"Carre, John le",0,,3,2000,,0,,0,,,,,1,,,,,3,
The Amazing Adventures of Kavalier & Clay,"Chabon, Michael",0,,4,2000,,1,"america, war",0,,,,,,,1,,,11,
Baudolino,"Eco, Umberto",0,,4,2000,,1,,12,,,1,,,,,,,7,
Viriconium,"Harrison, M. John",0,,5,2000,,1,,0,,,,,,,,,,6,
When We Were Orphans,"Ishiguro, Kazuo",0,,4,2000,,0,,0,,,,,,,,,,5,
English Passengers,"Kneale, Matthew",0,,4,2000,,0,,0,,,,,,,,,,1,
"Ben, In the World","Lessing, Doris",1,,2,2000,,0,,0,,,,,,,,,,2,
Perdido Street Station ,"Miéville, China",0,Bas-Lag 1,4,2000,,1,,0,,,,,,,,,,10,
The Truth ,"Pratchett, Terry",0,Discworld 25,0,2000,,1,,0,,,,,,,,,,32,
